,Layer
ZT18B1,7
ZT18B2,6
ZT18B3,3
ZT18B4,3
ZT18B5,6
ZT18B6,3
ZT18B7,8
ZT18B8,7
ZT18B9,4
ZT18B10,3
ZT18B11,3
ZT18B12,6
ZT18B13,6
ZT18B14,4
ZT18B15,3
ZT18B16,4
ZT18B17,6
ZT18B18,7
ZT18B19,8
ZT18B20,6
ZT18B21,7
ZT18B22,6
ZT18B23,6
ZT18B24,6
ZT18B25,1
ZT18B26,8
ZT18B27,8
ZT18B28,6
ZT18B29,4
ZT18B30,8
ZT18B31,8
ZT18B32,3
ZT18B33,4
ZT18B34,3
ZT18B35,2
ZT18B36,3
ZT18B37,1
ZT18B38,7
ZT18B39,7
ZT18B40,7
ZT18B41,7
ZT18B42,4
ZT18B43,1
ZT18B44,3
ZT18B45,4
ZT18B46,8
ZT18B47,6
ZT18B48,3
ZT18B49,7
ZT18B50,8
ZT18B51,8
ZT18B52,6
ZT18B53,8
ZT18B54,6
ZT18B55,3
ZT18B56,3
ZT18B57,8
ZT18B58,6
ZT18B59,8
ZT18B60,8
ZT18B61,6
ZT18B62,8
ZT18B63,8
ZT18B64,6
ZT18B65,4
ZT18B66,4
ZT18B67,8
ZT18B68,2
ZT18B69,7
ZT18B70,6
ZT18B71,7
ZT18B72,6
ZT18B73,3
ZT18B74,8
ZT18B75,6
ZT18B76,8
ZT18B77,3
ZT18B78,6
ZT18B79,7
ZT18B80,8
ZT18B81,6
ZT18B82,8
ZT18B83,3
ZT18B84,4
ZT18B85,8
ZT18B86,8
ZT18B87,8
ZT18B88,7
ZT18B89,3
ZT18B90,3
ZT18B91,3
ZT18B92,4
ZT18B93,8
ZT18B94,8
ZT18B95,8
ZT18B96,8
ZT18B97,3
ZT18B98,3
ZT18B99,7
ZT18B100,7
ZT18B101,4
ZT18B102,3
ZT18B103,2
ZT18B104,7
ZT18B105,3
ZT18B106,3
ZT18B107,8
ZT18B108,3
ZT18B109,1
ZT18B110,3
ZT18B111,8
ZT18B112,7
ZT18B113,1
ZT18B114,3
ZT18B115,6
ZT18B116,8
ZT18B117,8
ZT18B118,6
ZT18B119,8
ZT18B120,3
ZT18B121,6
ZT18B122,7
ZT18B123,4
ZT18B124,8
ZT18B125,6
ZT18B126,8
ZT18B127,2
ZT18B128,6
ZT18B129,4
ZT18B130,8
ZT18B131,7
ZT18B132,7
ZT18B133,8
ZT18B134,7
ZT18B135,8
ZT18B136,4
ZT18B137,6
ZT18B138,8
ZT18B139,8
ZT18B140,8
ZT18B141,6
ZT18B142,8
ZT18B143,8
ZT18B144,4
ZT18B145,8
ZT18B146,8
ZT18B147,6
ZT18B148,3
ZT18B149,1
ZT18B150,8
ZT18B151,6
ZT18B152,6
ZT18B153,2
ZT18B154,3
ZT18B155,7
ZT18B156,3
ZT18B157,2
ZT18B158,8
ZT18B159,8
ZT18B160,4
ZT18B161,8
ZT18B162,1
ZT18B163,3
ZT18B164,6
ZT18B165,3
ZT18B166,7
ZT18B167,6
ZT18B168,2
ZT18B169,8
ZT18B170,8
ZT18B171,3
ZT18B172,8
ZT18B173,6
ZT18B174,4
ZT18B175,3
ZT18B176,6
ZT18B177,4
ZT18B178,6
ZT18B179,8
ZT18B180,8
ZT18B181,8
ZT18B182,8
ZT18B183,8
ZT18B184,2
ZT18B185,8
ZT18B186,8
ZT18B187,8
ZT18B188,3
ZT18B189,4
ZT18B190,3
ZT18B191,6
ZT18B192,1
ZT18B193,2
ZT18B194,6
ZT18B195,4
ZT18B196,7
ZT18B197,8
ZT18B198,3
ZT18B199,6
ZT18B200,4
ZT18B201,8
ZT18B202,7
ZT18B203,6
ZT18B204,3
ZT18B205,3
ZT18B206,8
ZT18B207,7
ZT18B208,4
ZT18B209,7
ZT18B210,7
ZT18B211,4
ZT18B212,8
ZT18B213,2
ZT18B214,8
ZT18B215,8
ZT18B216,8
ZT18B217,8
ZT18B218,6
ZT18B219,1
ZT18B220,8
ZT18B221,8
ZT18B222,8
ZT18B223,3
ZT18B224,4
ZT18B225,7
ZT18B226,4
ZT18B227,8
ZT18B228,7
ZT18B229,3
ZT18B230,1
ZT18B231,8
ZT18B232,7
ZT18B233,8
