,Layer
ZT06A1,7
ZT06A2,3
ZT06A3,8
ZT06A4,5
ZT06A5,8
ZT06A6,2
ZT06A7,8
ZT06A8,6
ZT06A9,2
ZT06A10,2
ZT06A11,1
ZT06A12,2
ZT06A13,3
ZT06A14,3
ZT06A15,7
ZT06A16,8
ZT06A17,8
ZT06A18,6
ZT06A19,8
ZT06A20,8
ZT06A21,3
ZT06A22,3
ZT06A23,8
ZT06A24,8
ZT06A25,3
ZT06A26,3
ZT06A27,2
ZT06A28,8
ZT06A29,8
ZT06A30,3
ZT06A31,8
ZT06A32,6
ZT06A33,8
ZT06A34,2
ZT06A35,4
ZT06A36,3
ZT06A37,8
ZT06A38,8
ZT06A39,6
ZT06A40,6
ZT06A41,3
ZT06A42,8
ZT06A43,8
ZT06A44,6
ZT06A45,3
ZT06A46,8
ZT06A47,2
ZT06A48,4
ZT06A49,5
ZT06A50,4
ZT06A51,8
ZT06A52,7
ZT06A53,8
ZT06A54,8
ZT06A55,6
ZT06A56,3
ZT06A57,6
ZT06A58,7
ZT06A59,7
ZT06A60,7
ZT06A61,8
ZT06A62,3
ZT06A63,6
ZT06A64,3
ZT06A65,6
ZT06A66,1
ZT06A67,3
ZT06A68,1
ZT06A69,8
ZT06A70,5
ZT06A71,3
ZT06A72,8
ZT06A73,3
ZT06A74,8
ZT06A75,8
ZT06A76,8
ZT06A77,1
ZT06A78,6
ZT06A79,7
ZT06A80,6
ZT06A81,7
ZT06A82,8
ZT06A83,1
ZT06A84,2
ZT06A85,8
ZT06A86,2
ZT06A87,3
ZT06A88,5
ZT06A89,3
ZT06A90,5
ZT06A91,8
ZT06A92,3
ZT06A93,3
ZT06A94,3
ZT06A95,3
ZT06A96,3
ZT06A97,8
ZT06A98,3
ZT06A99,8
ZT06A100,3
ZT06A101,3
ZT06A102,3
ZT06A103,3
ZT06A104,3
ZT06A105,1
ZT06A106,6
ZT06A107,5
ZT06A108,7
ZT06A109,8
ZT06A110,6
ZT06A111,3
ZT06A112,7
ZT06A113,3
ZT06A114,7
ZT06A115,4
ZT06A116,5
ZT06A117,5
ZT06A118,8
ZT06A119,3
ZT06A120,3
ZT06A121,1
ZT06A122,1
ZT06A123,5
ZT06A124,1
ZT06A125,1
ZT06A126,2
ZT06A127,5
ZT06A128,3
ZT06A129,5
ZT06A130,7
ZT06A131,4
ZT06A132,3
ZT06A133,3
ZT06A134,2
ZT06A135,1
ZT06A136,7
ZT06A137,6
ZT06A138,5
ZT06A139,3
ZT06A140,1
ZT06A141,3
ZT06A142,6
ZT06A143,8
ZT06A144,6
ZT06A145,3
ZT06A146,2
ZT06A147,3
ZT06A148,4
ZT06A149,8
ZT06A150,3
ZT06A151,8
ZT06A152,4
ZT06A153,8
ZT06A154,2
ZT06A155,6
ZT06A156,1
ZT06A157,8
ZT06A158,4
ZT06A159,8
ZT06A160,1
ZT06A161,6
ZT06A162,1
ZT06A163,3
ZT06A164,6
ZT06A165,1
ZT06A166,4
ZT06A167,1
ZT06A168,3
ZT06A169,3
ZT06A170,8
ZT06A171,7
ZT06A172,3
ZT06A173,3
ZT06A174,4
ZT06A175,3
ZT06A176,8
ZT06A177,3
ZT06A178,7
ZT06A179,3
ZT06A180,7
ZT06A181,6
ZT06A182,6
ZT06A183,8
ZT06A184,2
ZT06A185,3
ZT06A186,1
ZT06A187,3
ZT06A188,6
ZT06A189,6
ZT06A190,7
ZT06A191,6
ZT06A192,3
ZT06A193,7
ZT06A194,7
ZT06A195,5
ZT06A196,1
ZT06A197,3
ZT06A198,2
ZT06A199,7
ZT06A200,7
ZT06A201,4
ZT06A202,7
ZT06A203,2
ZT06A204,3
ZT06A205,1
ZT06A206,1
ZT06A207,4
ZT06A208,8
ZT06A209,8
ZT06A210,6
ZT06A211,3
ZT06A212,2
ZT06A213,3
ZT06A214,6
ZT06A215,6
ZT06A216,7
ZT06A217,4
ZT06A218,7
ZT06A219,7
ZT06A220,2
ZT06A221,3
ZT06A222,6
ZT06A223,4
ZT06A224,1
ZT06A225,3
ZT06A226,1
ZT06A227,1
ZT06A228,5
ZT06A229,8
ZT06A230,3
ZT06A231,2
ZT06A232,7
ZT06A233,8
ZT06A234,6
ZT06A235,7
ZT06A236,6
ZT06A237,1
ZT06A238,1
ZT06A239,7
ZT06A240,6
ZT06A241,4
ZT06A242,1
ZT06A243,8
ZT06A244,6
ZT06A245,2
ZT06A246,7
ZT06A247,7
ZT06A248,3
ZT06A249,4
ZT06A250,8
ZT06A251,3
ZT06A252,7
ZT06A253,5
ZT06A254,8
ZT06A255,8
ZT06A256,8
ZT06A257,8
ZT06A258,8
ZT06A259,8
ZT06A260,8
ZT06A261,8
ZT06A262,6
ZT06A263,8
ZT06A264,8
ZT06A265,8
ZT06A266,3
ZT06A267,3
ZT06A268,3
ZT06A269,3
ZT06A270,2
ZT06A271,2
ZT06A272,8
